"","faixa_etaria","uf","idade","analfabeto","trabalha","carteira_assinada","responsavel","ensino_medio","ocupacao","salario","motivo_indisp_14","motivo_indisp","horas_trabalho","ano","setor_privado","setor_domestico","setor_publico","setor_empregador","setor_conta_propria","setor_auxiliar_familiar","motivo_dependente","motivo_estudo","motivo_pcd","motivo_idade","motivo_vontade"
"317","60 a 64 anos",35,62.9085451441206,0.0593460570161897,0.364112086901024,0.666745399011208,0.611856884063047,0.320293435523248,3.03753878566479,3202.74141402733,3.36246744626383,NA,41.7023202986036,2014,0.343698736348697,0.0843949583417317,0.1058368655445,0.132765040893222,0.323347020804859,0.00995737806699161,1,NA,1,1,1
"318","60 a 64 anos",41,62.8909594410802,0.117487963676418,0.382936087251064,0.69798076402548,0.637170132334917,0.266596163890512,3.42019398096018,2094.40980746993,3.56804132256643,NA,38.7990198587368,2014,0.286960026614802,0.0485528201453578,0.105026102978811,0.0965170437096939,0.44268220902856,0.0202617975227761,1,NA,1,1,1
"319","60 a 64 anos",42,62.9298955797139,0.0699120087029239,0.285009657581386,0.698071167276355,0.620856675571869,0.232773612971501,3.41842802178584,2253.06435605279,3.6711521887409,NA,39.461962224554,2014,0.270299305451457,0.0723529705691301,0.107517613551192,0.0981237195822715,0.42186328886224,0.0298431019837106,1,NA,1,1,1
"320","60 a 64 anos",43,62.9170604999422,0.0703894164537128,0.33093563008066,0.60178373070174,0.611813946640586,0.269983489499532,3.53981207436568,2071.00882636627,3.5545676342288,NA,38.1445245826269,2014,0.240625269388811,0.0983420016666188,0.0863423464842964,0.0868825608459527,0.430901410878998,0.0569064107353237,1,1,1,1,1
"321","60 a 64 anos",50,62.8756194421873,0.171303661146526,0.394360071872461,0.601228171176358,0.656076541881731,0.200098424070408,3.25240669919557,2299.58941344778,3.38696917527464,NA,40.0078333113543,2014,0.321640511670843,0.0664380851905578,0.109719108532243,0.0836080706844257,0.377264934722405,0.0413292891995253,1,NA,1,1,1
"322","60 a 64 anos",51,62.8671888206457,0.221524764748972,0.405251591818335,0.595956354300385,0.624015326534062,0.1990082830901,3.66234543278819,1706.07223677318,3.6668393997181,NA,38.6596031112884,2014,0.257130035899481,0.0212903869166334,0.11378141204627,0.0632977662544874,0.49890307140008,0.0455973274830475,1,NA,1,1,1
"323","60 a 64 anos",52,62.9073182026386,0.185227690278805,0.338850047063206,0.546380908553021,0.659478831624461,0.213319642218967,3.17609328645204,2018.94125971143,3.33868915305564,NA,41.1981650368091,2014,0.321269640698824,0.0663663333699593,0.155230194484123,0.0392676628941875,0.40786726733326,0.00999890121964619,1,1,1,1,1
"324","60 a 64 anos",53,62.923620917917,0.0834620476610768,0.342056487202118,0.786734413622631,0.6908759929391,0.487014563106796,3.06429384624603,3614.28172120992,3.70852661024751,NA,37.5535682185871,2014,0.311462640062316,0.0570136017736233,0.24450236682845,0.0383486128587692,0.340134220145006,0.00853855833183534,1,NA,1,1,1
"325","65 a 69 anos",11,68.0433140355832,0.376659135837334,0.175056481219994,0.353488372093023,0.665631177633437,0.123023157300198,4.40485829959514,1406.61990273101,3.86232172031616,NA,31.9445520154902,2014,0.11353634923429,0,0.0559760605527196,0.0746347474036261,0.710262277767999,0.045590565041366,1,NA,1,1,1
"326","65 a 69 anos",12,67.8967859509609,0.424950298210736,0.203528827037773,0.685015290519878,0.615888005301524,0.116799204771372,3.9377344336084,1227.07145586549,3.91207739740591,NA,33.5277569392348,2014,0.0367591897974494,0,0.418604651162791,0.0963990997749437,0.429857464366092,0.0183795948987247,1,1,1,1,1
