ANO_ELEICAO,NR_TURNO,CD_MUNICIPIO,SG_UF,DS_CARGO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS
2022,2,4057,PA,Presidente,ELEITO,12643
2022,2,4057,PA,Presidente,NÃO ELEITO,6268
2022,2,4065,PA,Presidente,ELEITO,8820
2022,2,4065,PA,Presidente,NÃO ELEITO,3700
2022,2,4073,PA,Presidente,ELEITO,16020
2022,2,4073,PA,Presidente,NÃO ELEITO,15563
2022,2,4081,PA,Presidente,ELEITO,6801
2022,2,4081,PA,Presidente,NÃO ELEITO,13145
2022,2,4090,PA,Presidente,ELEITO,11451
2022,2,4090,PA,Presidente,NÃO ELEITO,4855
2022,2,4103,PA,Presidente,ELEITO,10215
2022,2,4103,PA,Presidente,NÃO ELEITO,8584
2022,2,4111,PA,Presidente,ELEITO,23852
2022,2,4111,PA,Presidente,NÃO ELEITO,39713
2022,2,4120,PA,Presidente,ELEITO,7185
2022,2,4120,PA,Presidente,NÃO ELEITO,7326
2022,2,4138,PA,Presidente,ELEITO,7201
2022,2,4138,PA,Presidente,NÃO ELEITO,6968
2022,2,4146,PA,Presidente,ELEITO,9505
2022,2,4146,PA,Presidente,NÃO ELEITO,3385
2022,2,4154,PA,Presidente,ELEITO,137406
2022,2,4154,PA,Presidente,NÃO ELEITO,138978
2022,2,4162,PA,Presidente,ELEITO,2580
2022,2,4162,PA,Presidente,NÃO ELEITO,1774
2022,2,4170,PA,Presidente,ELEITO,19278
2022,2,4170,PA,Presidente,NÃO ELEITO,7086
2022,2,4189,PA,Presidente,ELEITO,11127
2022,2,4189,PA,Presidente,NÃO ELEITO,5772
2022,2,4197,PA,Presidente,ELEITO,4475
2022,2,4197,PA,Presidente,NÃO ELEITO,2990
2022,2,4200,PA,Presidente,ELEITO,4503
2022,2,4200,PA,Presidente,NÃO ELEITO,3982
2022,2,4219,PA,Presidente,ELEITO,8171
2022,2,4219,PA,Presidente,NÃO ELEITO,2206
2022,2,4227,PA,Presidente,ELEITO,4109
2022,2,4227,PA,Presidente,NÃO ELEITO,8088
2022,2,4235,PA,Presidente,ELEITO,14758
2022,2,4235,PA,Presidente,NÃO ELEITO,4983
2022,2,4243,PA,Presidente,ELEITO,7489
2022,2,4243,PA,Presidente,NÃO ELEITO,5668
2022,2,4251,PA,Presidente,ELEITO,48262
2022,2,4251,PA,Presidente,NÃO ELEITO,26380
2022,2,4260,PA,Presidente,ELEITO,3122
2022,2,4260,PA,Presidente,NÃO ELEITO,4424
2022,2,4278,PA,Presidente,ELEITO,431858
2022,2,4278,PA,Presidente,NÃO ELEITO,427051
2022,2,4286,PA,Presidente,ELEITO,2599
2022,2,4286,PA,Presidente,NÃO ELEITO,5541
2022,2,4294,PA,Presidente,ELEITO,19869
2022,2,4294,PA,Presidente,NÃO ELEITO,16723
2022,2,4308,PA,Presidente,ELEITO,2369
2022,2,4308,PA,Presidente,NÃO ELEITO,2849
2022,2,4316,PA,Presidente,ELEITO,6727
2022,2,4316,PA,Presidente,NÃO ELEITO,2761
2022,2,4324,PA,Presidente,ELEITO,7222
2022,2,4324,PA,Presidente,NÃO ELEITO,7150
2022,2,4332,PA,Presidente,ELEITO,41378
2022,2,4332,PA,Presidente,NÃO ELEITO,24883
2022,2,4340,PA,Presidente,ELEITO,9566
2022,2,4340,PA,Presidente,NÃO ELEITO,3845
2022,2,4359,PA,Presidente,ELEITO,30930
